nombre,provincia,distrito,lat,lon,fuente,funerario
Hanko Ankoni Callejón,chucuito,pomata,-16.267545646,-69.301727541,INC,False
Tococawa,chucuito,pomata,-16.261044366,-69.309082772,INC,False
Asirune Chullpa 1,chucuito,pomata,-16.2717595,-69.31332045,INC,True
"Asirune Chullpas 2,3 y 4",chucuito,pomata,-16.27371941,-69.314502808,INC,True
Asirune Chullpa 5,chucuito,pomata,-16.272788509,-69.31436094,INC,True
Asirune Chullpa 6,chucuito,pomata,-16.273465361,-69.315129463,INC,True
Asirune Chullpa 7,chucuito,pomata,-16.271884671,-69.314256552,INC,True
Pichuña Chullpa 1,chucuito,pomata,-16.279688667,-69.318602369,INC,True
Pichuña Chullpa 2,chucuito,pomata,-16.278847421,-69.318956667,INC,True
Tococawa  Terrazas,chucuito,pomata,-16.263187032,-69.308945744,INC,False
Orocollo Terrazas,chucuito,pomata,-16.271975875,-69.313713874,INC,False
Tanapaca Pucara,chucuito,pomata,-16.314432187,-69.37706189,INC,False
Rosaspata 1,carabaya,crucero,-14.361032082,-70.002738995,INC,False
